condition,batch,population,pid,round,puzzle,ai,transfer,form,variant,consented_at,pretask_at,prompt_rule,prompt_mean_score,prompt_passed,carryover,reached_demographics,effort_median,skill_rating,age,education,genai_usage,gate_correct,gate_confidence,ai_turns,end_reason,decisions,score,decisions_first_n,score_first_n,kept_win_score,kept_win_first_n,opener_optimal,disc_loss_total,disc_loss_per_decision,seconds,completed,black_discs,white_discs,margin,won,moves,attempts,solved,transfer_rounds,transfer_score,transfer_decisions,transfer_rate,transfer_wins,transfer_solved,transfer_openers,transfer_disc_loss,transfer_label
baseline_adopters,baseline_adopters,adopters,p11,R1,oc20260727,False,False,,,2026-08-07T15:54:54.339745+00:00,,,3.333,True,False,True,,1,34.0,bachelors,few_times_month,False,2,0,manual,3,0,3,0,0,0,False,44,14.7,11,True,19,45,-26.0,False,c8! b6! b8!,1,False,2,1.0,4.0,0.25,0.0,0.0,0.0,42.0,Strugglers
baseline_adopters,baseline_adopters,adopters,p11,R2,b220260706,False,True,,,2026-08-07T15:54:54.339745+00:00,,,3.333,True,False,True,,1,34.0,bachelors,few_times_month,False,2,0,manual,2,1,2,1,0,0,False,16,8.0,2,True,30,34,-4.0,False,g2! g7,1,False,2,1.0,4.0,0.25,0.0,0.0,0.0,42.0,Strugglers
baseline_adopters,baseline_adopters,adopters,p11,R3,bg20260726,False,True,,,2026-08-07T15:54:54.339745+00:00,,,3.333,True,False,True,,1,34.0,bachelors,few_times_month,False,2,0,manual,2,0,2,0,0,0,False,26,13.0,4,True,21,43,-22.0,False,h7! g7!,1,False,2,1.0,4.0,0.25,0.0,0.0,0.0,42.0,Strugglers
baseline_adopters,baseline_adopters,adopters,p111,R1,oc20260727,False,False,,,2026-08-07T14:54:35.663375+00:00,,,2.667,True,False,True,,dont_know,55.0,some_college,few_times_week,False,3,0,manual,4,0,3,0,0,0,False,46,11.5,55,True,18,46,-28.0,False,b6! b7! g2! c8!,1,False,2,0.0,4.0,0.0,0.0,0.0,0.0,52.0,Strugglers
baseline_adopters,baseline_adopters,adopters,p111,R2,b220260706,False,True,,,2026-08-07T14:54:35.663375+00:00,,,2.667,True,False,True,,dont_know,55.0,some_college,few_times_week,False,3,0,manual,2,0,2,0,0,0,False,30,15.0,8,True,23,41,-18.0,False,g1! g2!,1,False,2,0.0,4.0,0.0,0.0,0.0,0.0,52.0,Strugglers
baseline_adopters,baseline_adopters,adopters,p111,R3,bg20260726,False,True,,,2026-08-07T14:54:35.663375+00:00,,,2.667,True,False,True,,dont_know,55.0,some_college,few_times_week,False,3,0,manual,2,0,2,0,0,0,False,22,11.0,10,True,23,41,-18.0,False,g7! h7!,1,False,2,0.0,4.0,0.0,0.0,0.0,0.0,52.0,Strugglers
baseline_adopters,baseline_adopters,adopters,p118,R1,oc20260727,False,False,,,2026-08-06T22:42:28.131500+00:00,,,3.0,True,False,True,,1,39.0,some_college,daily,False,1,0,manual,3,2,3,2,0,0,False,40,13.3,8,True,21,43,-22.0,False,c8! a7 g2,1,False,2,2.0,4.0,0.5,0.0,0.0,1.0,20.0,Strugglers
baseline_adopters,baseline_adopters,adopters,p118,R2,b220260706,False,True,,,2026-08-06T22:42:28.131500+00:00,,,3.0,True,False,True,,1,39.0,some_college,daily,False,1,0,manual,2,1,2,1,1,1,True,12,6.0,3,True,32,32,0.0,False,g7 g2!,1,False,2,2.0,4.0,0.5,0.0,0.0,1.0,20.0,Strugglers
baseline_adopters,baseline_adopters,adopters,p118,R3,bg20260726,False,True,,,2026-08-06T22:42:28.131500+00:00,,,3.0,True,False,True,,1,39.0,some_college,daily,False,1,0,manual,2,1,2,1,0,0,False,8,4.0,8,True,30,34,-4.0,False,g8! g7,1,False,2,2.0,4.0,0.5,0.0,0.0,1.0,20.0,Strugglers
baseline_adopters,baseline_adopters,adopters,p125,R1,oc20260727,False,False,,,2026-08-10T15:16:03.203608+00:00,,,3.0,True,False,True,,1,23.0,postgrad,few_times_week,False,1,0,manual,4,3,3,2,1,1,True,38,9.5,30,True,22,42,-20.0,False,b7 b6! g2 b8,1,False,2,3.0,5.0,0.6,0.0,0.0,0.0,32.0,Solvers
