Timestamp,Prolific ID?,The AI assistant's responses were consistent with the intentions of my questions.,The AI assistant was easy to use.,Any additional feedback you would like to share about the AI assistant?
8/3/2026 13:04:36,p329,Agree,Agree,"no, it was what i would expect"
8/3/2026 13:05:37,p150,Strongly agree,Strongly agree,no comments
8/4/2026 6:08:05,p286,Agree,Agree,no
8/4/2026 6:13:19,p578,Strongly agree,Strongly agree,
8/4/2026 6:13:52,p736,Neutral,Disagree,"For someone who never played, assistant isn't super helpful..."
8/4/2026 6:16:00,p611,Disagree,Neutral,"I made clear to the Ai assistant from the start that I was not very good at the game and didn't understand it all that well. Despite knowing this was the case, it presented me with two moves, assuring me that they were the best moves, while also leaving out critical information that would have influenced what move I would make. It did it the second time, despite being called out on its' mistake with the first move."
8/4/2026 6:18:18,p534,Strongly agree,Agree,
8/4/2026 6:25:23,p233,Agree,Strongly agree,no
8/4/2026 6:28:37,p805,Disagree,Disagree,
8/4/2026 6:30:06,p155,Strongly agree,Agree,
8/4/2026 6:30:30,p226,Agree,Agree,
8/4/2026 6:38:54,p484,Strongly agree,Strongly agree,None
8/4/2026 6:42:53,p161,Strongly agree,Strongly agree,some of the formatting was a little confusing - where it highlighted several potential moves all in bold including ones that were not favourable within one message 
8/4/2026 6:46:45,p62,Agree,Agree,"it was informative but gave a lot of text and did not encourage me to check understanding or work out a theoretical move, it gave information rather than having a conversation with me"
8/4/2026 6:51:44,p602,Disagree,Disagree,
8/4/2026 6:58:13,p706,Neutral,Agree,"I choose the recommendations by the assistant as I am not too familiar with the game, and I lost on every occasion taking the assistants advice.  "
8/4/2026 6:58:30,p658,Agree,Agree,"No, thank you."
8/4/2026 7:00:21,p791,Agree,Agree,"It kept saying things like ""white probably wouldn't have a legal move"" But it should have been able to tell?"
8/4/2026 7:11:53,p735,Agree,Agree,
8/4/2026 7:15:26,p591,Agree,Agree,I didn't fell that the assistance given wasn't particularly helpful
8/4/2026 7:19:59,p780,Strongly agree,Strongly agree,It's helpful even though it avoids giving direct suggestions on the best move
8/4/2026 7:25:37,p33,Strongly disagree,Agree,It was wrong
8/4/2026 11:00:32,p707,Agree,Agree,It thought I knew how to play the game and I knew nothing. It could have explained what I was trying to do.
8/4/2026 11:09:37,627be8df969ba21063c8a31f,Strongly agree,Strongly agree,
8/4/2026 11:12:59,p593,Strongly agree,Agree,no
8/4/2026 11:21:13,p632,Strongly agree,Strongly agree,"The AI assistant was really helpful, but I have trouble with the nuances of the game."
8/4/2026 11:26:03,p262,Agree,Strongly agree,"It explained the answers to my questions, but I didn't really understand them. "
8/4/2026 11:33:20,p785,Agree,Agree,"It was a little slow, but I appreciated that it explained strategy & reasoning so I could understand some rules better."
8/4/2026 11:37:25,p368,Strongly agree,Strongly agree,The answers were too open ended
8/4/2026 11:37:52,p823,Strongly disagree,Strongly disagree,
8/4/2026 11:40:01,p635,Strongly agree,Strongly agree,
8/4/2026 11:43:31,p726,Agree,Strongly agree,
8/5/2026 5:39:38,p454,Agree,Strongly agree,
8/5/2026 5:40:46,p722,Agree,Agree,
8/5/2026 5:41:09,p523,Agree,Agree,Had to wait longer than expected for the AI assistant to respond
8/5/2026 5:42:50,p277,Strongly agree,Strongly agree,no feedback
8/5/2026 5:55:41,p268,Strongly agree,Strongly agree,Clear answers- even when I botched my questions slightly.
8/5/2026 5:57:17,p729,Agree,Agree,
8/5/2026 6:02:29,p404,Neutral,Agree,"I would have liked it to suggest moves directly rather than guide me through, though the AI's method was long term beneficial for learning how to play the game."
8/5/2026 6:03:31,p123,Agree,Agree,
8/5/2026 6:03:46,p813,Disagree,Agree,I did not trust the AI to make good decisions for me. 
8/5/2026 6:04:35,p813,Neutral,Agree,I did not trust the AI to give me truthful answers on best moves.
8/5/2026 6:14:06,p258,Strongly agree,Strongly agree,
8/5/2026 6:15:26,p636,Neutral,Neutral,I feel like the AI gave too much information for someone with limited knowledge of the game and didn't directly answer my questions
8/5/2026 6:16:31,p628,Strongly agree,Strongly agree,
8/5/2026 6:19:02,p807,Agree,Neutral,"I questioned at times whether or not the moves it suggested were the most optimal. Additionally, at times I wish it did a better job of explaining it's logic."
8/5/2026 6:24:17,p838,Neutral,Agree,
8/5/2026 6:24:38,p783,Agree,Agree,
8/5/2026 6:32:48,p284,Agree,Agree,
8/5/2026 6:34:49,p392,Strongly agree,Agree,no thanks
8/5/2026 6:40:40,p395,Strongly agree,Strongly agree,No
8/5/2026 6:44:18,p815,Agree,Agree,
8/5/2026 6:47:42,p777,Agree,Agree,
8/5/2026 6:48:33,p463,Agree,Agree,
8/5/2026 6:51:19,p314,Strongly disagree,Agree,"I think it's programmed to make you lose, not win!"
8/5/2026 6:54:51,p55,Strongly agree,Strongly agree,
8/5/2026 6:59:20,p460,Agree,Strongly agree,
8/5/2026 7:06:42,p745,Strongly agree,Strongly agree,
8/5/2026 7:10:16,p576,Agree,Agree,
8/5/2026 7:17:22,p212,Agree,Strongly agree,The assistant was easy to interact with. 
8/5/2026 7:22:52,p824,Strongly agree,Strongly agree,
8/5/2026 7:25:24,p86,Agree,Strongly agree,
8/5/2026 7:29:36,p642,Agree,Agree,
8/5/2026 7:36:41,p17,Disagree,Agree,"I decided to use basic natural language prompts without any prompt engineering , and felt the AI Assistant was lacking in understanding my objective. (The assistant agreed!)"
8/5/2026 7:38:18,p127,Disagree,Agree,
8/5/2026 7:41:37,p357,Agree,Agree,I wonder if I could have won? 
8/5/2026 7:42:02,p346,Neutral,Disagree,"It was slow, which is why I answered 'disagree' to the previous question."
8/5/2026 7:50:06,p752,Neutral,Disagree,"It seemed to let me want to answer more than I would've liked. I don't understand the game super well and some more guidance would've helped. It wasn't bad though, I appreciate that it seemed to read the game state fairly well."
8/5/2026 8:04:20,p334,Agree,Strongly agree,
8/5/2026 8:09:11,p723,Strongly agree,Strongly agree,
8/5/2026 8:09:34,p393,Agree,Agree,"I was surprised that so many discs turned white after I made the suggested move. I would have liked more time to play the game, and more turns with the AI assistant. "
8/5/2026 8:11:54,p708,Strongly agree,Strongly agree,"The explanations were helpful to someone who has only played this game a couple of times, and not at all recently."
8/5/2026 8:21:20,p383,Strongly agree,Strongly agree,I'm not sure if it was giving good advice or not.
8/5/2026 8:29:20,p669,Strongly agree,Strongly agree,I liked how the assistant helped me to reason a couple steps ahead and was polite and informative despite my clearly knowing nothing about this game and telling it that.
8/5/2026 8:31:16,p266,Strongly agree,Strongly agree,"The AI clearly answered my questions and explained why certain moves were or were not a good idea, which really helped me to understand the rules as I had not played this game before."
8/5/2026 8:31:31,p332,Agree,Agree,
8/5/2026 8:32:54,p405,Agree,Neutral,
8/5/2026 8:49:26,p629,Strongly agree,Agree,I think the assistant was easy to use and helpful.  I could see someone learning to play the game and becoming a skilled player through interacting with this AI.
8/5/2026 9:56:27,p797,Strongly agree,Strongly agree,"It gave me instructions on what the best move was. I don't know whether they were correct, but since I know nothing really about Othello it seemed reasonable. I just followed those instructions, but don't know if it was the best approach"
8/5/2026 9:59:09,p72,Strongly agree,Strongly agree,
8/5/2026 10:13:54,p131,Agree,Strongly agree,"it gave good, well-rounded feedback throughout"
8/5/2026 10:22:25,p30,Strongly agree,Agree,I didn't like how the AI assistant's response initially looked jumbled up but then the formatting re-adjusted. 
8/5/2026 10:36:47,p99,Strongly agree,Strongly agree,"It assumed some foreknowledge of the game - I found I got the most benefit after I played 1 or 2 moves, so that I fully understood what the AI is saying. I didn't quite understand the game at first and the AI didn't help in that regard as much as it could have."
8/7/2026 5:48:03,p222,Agree,Agree,
8/7/2026 5:51:38,p92,Agree,Agree,
8/7/2026 5:56:25,p717,Strongly agree,Strongly agree,Overall it did a great job explaining the rules of the game without becoming overly complicated.
8/7/2026 6:05:26,p137,Agree,Agree,It did the job well.
8/7/2026 6:06:13,p679,Agree,Strongly agree,I’m not sure that it always gave the best advice.
8/7/2026 6:10:23,p688,Strongly agree,Strongly agree,
8/7/2026 6:15:44,p608,Strongly agree,Strongly agree,
8/7/2026 6:23:30,p621,Agree,Agree,"I found the assistant helpful in clarifying some points of confusion during the game, and gave me some good tips. That being said, it did slightly confuse me (and it admitted this after) by saying one move looked risky and listing that separately from 2 other moves which seemed to imply these were better moves but when I took one of those I lost quite badly. Of course I'm a very beginner player so it would take me a lot of practice, and I think over time if I was using the assistant and able to ask it a lot of questions, I feel like it would indeed be very helpful."
8/7/2026 6:29:40,p380,Agree,Agree,
8/7/2026 6:29:53,p812,Agree,Strongly agree,Nothing to add
8/7/2026 6:42:35,p61,Strongly agree,Strongly agree,
8/7/2026 6:46:43,p530,Strongly agree,Strongly agree,
8/7/2026 6:54:35,p240,Agree,Agree,
8/7/2026 6:55:16,p528,Strongly agree,Agree,
8/7/2026 6:57:04,p545,Neutral,Agree,"Not the assistant, that was mostly fine, but do have feedback on the task. The task stated I was playing black, but when clicking a white piece was placed. Realised this after the first turn, and played as if I was white (and won), but the AI seemed to be confused because it thought I was black."
8/7/2026 7:07:44,p157,Agree,Agree,
8/7/2026 7:08:04,p76,Agree,Agree,a bit slow
8/7/2026 7:20:06,p843,Strongly agree,Agree,"it didn't show up right away, so I was confused at first to where it was."
8/7/2026 7:35:35,p573,Strongly agree,Strongly agree,Offered good advice with clear reasoning.
8/7/2026 7:41:16,p705,Agree,Agree,No
8/7/2026 7:53:03,p798,Strongly agree,Agree,N/A
8/7/2026 8:01:07,p795,Agree,Disagree,
8/7/2026 8:06:42,p241,Agree,Agree,"Once I chose the assistant's suggested square, it didn't turn the row black as expected - it turned it white?"
8/7/2026 8:10:24,p477,Neutral,Strongly agree,
8/7/2026 8:26:58,p158,Strongly agree,Agree,it was a bit slow in responding
8/7/2026 8:35:49,p322,Strongly agree,Neutral,The AI assistant took a long time to reply which was a little frustrating with the time limit
8/7/2026 8:40:27,p426,Disagree,Neutral,
8/7/2026 8:53:22,p749,Strongly agree,Agree,"The feedback time was a little slow for a timed task, it felt like 8 mins was tight with how long 5 interactions took"
8/7/2026 8:54:27,p199,Strongly agree,Strongly agree,It gave clear answers that backed up the strategy employed
8/7/2026 9:13:16,p786,Agree,Neutral,"what i want from it is (1) which move is best and (2) what general strategy should i use, whereas it tended to just tell me to think about minimise opponenets options - not helpful."
8/18/2026 0:16:25,p377,Agree,Agree,
8/18/2026 0:41:33,p100,Agree,Strongly agree,The assistant was ready and willing to help whenever I needed help
8/18/2026 4:37:01,p684,Strongly agree,Strongly agree,
8/18/2026 4:42:55,p585,Agree,Agree,the assitant did help as i didnt knwo what i was doing 
8/18/2026 4:46:05,p637,Agree,Agree,
8/18/2026 4:54:32,p525,Strongly agree,Strongly agree,
8/18/2026 4:54:45,p446,Strongly agree,Strongly agree,"it was great, helped me win"
8/18/2026 5:10:18,p197,Strongly agree,Strongly agree,the responses to questions and queries about how i can further improve was quite food 
8/18/2026 9:37:59,p112,Agree,Strongly agree,The AI assistant took a little long to reply but the answers were well thought out and very helpful
8/18/2026 9:38:09,p846,Agree,Agree,
8/18/2026 9:52:15,p825,Strongly agree,Strongly agree,it was very helpful
8/18/2026 9:57:13,p442,Agree,Agree,AI answers were not really beginner friendly.
8/18/2026 9:57:44,p744,Strongly agree,Strongly agree,"the assistant was friendly,made me trust it"
8/18/2026 10:09:00,p271,Strongly agree,Strongly agree,
8/18/2026 10:11:23,p511,Agree,Agree,It was very slow. Was watching the timer go down and hoping it could answer 5 times in the 7 minutes
8/18/2026 10:31:32,p479,Strongly agree,Strongly agree,"Typical GPT/Claude/Kimi/Grok/etc LLM via API, tasked with being an othello coach, even kept its jokes on topic. So tightly prompted for the UI of the study. Common. Basic. Very 2021. "
8/18/2026 10:34:29,p464,Strongly agree,Strongly agree,
8/18/2026 10:42:05,p564,Strongly agree,Strongly agree,
8/18/2026 10:55:00,p185,Strongly agree,Strongly agree,good
8/18/2026 11:03:07,p515,Agree,Strongly agree,
8/18/2026 11:36:01,p770,Agree,Strongly agree,
8/18/2026 11:37:50,p721,Agree,Agree,"When finished, it told me I was finished instead of giving me advice on what went wrong "
8/18/2026 11:44:08,p502,Disagree,Agree,
8/18/2026 12:07:01,p533,Strongly agree,Strongly agree,none
8/18/2026 12:14:02,p343,Strongly agree,Strongly agree,I was vey surprised how fast the AI returned the answers
8/18/2026 12:28:59,p103,Agree,Agree,
8/18/2026 13:02:33,p80,Agree,Agree,
8/18/2026 13:12:14,p605,Agree,Neutral,
8/18/2026 13:20:25,p802,Disagree,Agree,
8/18/2026 13:22:00,p624,Agree,Agree,n/a
8/18/2026 13:28:02,p164,Agree,Strongly agree,no
8/18/2026 13:35:42,p519,Agree,Strongly agree,nope
8/18/2026 13:36:22,p261,Agree,Agree,
8/18/2026 13:42:54,p115,Strongly agree,Strongly agree,The ai assistant explained all the moves it proposed to me which increased my understanding of the game.
8/18/2026 13:50:20,p69,Agree,Agree,The AI was easy to interact with and genrelly understood what i was asking. Its responses were helpful when evaluting diffrent moves.
8/18/2026 13:54:01,p419,Strongly agree,Strongly agree,
8/18/2026 13:57:16,p102,Agree,Agree,non
8/18/2026 14:22:23,p269,Agree,Agree,
8/18/2026 14:22:38,p59,Strongly agree,Strongly agree,
8/18/2026 14:32:11,p491,Agree,Agree,
8/18/2026 14:35:40,p550,Agree,Agree,"Whilst very easy to use and to the extent of following my line of questioning consistent, it actually provided false information which ultimately led me to losing the game."
8/18/2026 14:39:27,p362,Strongly agree,Strongly agree,No comment
8/18/2026 14:39:44,p388,Agree,Agree,"better at telling me what not to do, than what to do"
8/18/2026 14:51:24,p675,Neutral,Disagree,
8/18/2026 15:01:44,p239,Agree,Agree,i somewhat confident knowing the assistant AI was there assisting me every step of way.
8/18/2026 15:25:23,p200,Strongly agree,Strongly agree,It was accurate 
8/18/2026 15:27:38,p691,Agree,Strongly agree,Convenient and easy to use
8/18/2026 15:28:09,p308,Strongly agree,Strongly agree,No
8/18/2026 15:43:59,p572,Agree,Agree,It was a bit slow and I needed more information about what happens because I don't really understand the game too well.
8/18/2026 15:45:39,p301,Strongly agree,Strongly agree,None
8/18/2026 15:47:25,p81,Agree,Agree,accidentally made a bad move did not know I was black at first too
8/18/2026 15:58:25,p283,Strongly agree,Strongly agree,brilliant ai
8/19/2026 4:08:25,p272,Strongly agree,Agree,
8/19/2026 4:09:29,p674,Agree,Agree,sad it encouraged me to be lazy
8/19/2026 4:13:41,p666,Agree,Agree,
8/19/2026 4:13:49,p456,Agree,Agree,
8/19/2026 4:14:24,p323,Strongly agree,Strongly agree,
8/19/2026 4:17:03,p140,Disagree,Strongly agree,
8/19/2026 4:21:43,p756,Neutral,Strongly disagree,No
8/19/2026 4:22:45,p65,Strongly agree,Strongly agree,
8/19/2026 4:33:11,p347,Agree,Agree,none
8/19/2026 4:33:40,p811,Strongly agree,Strongly agree,It's instructions were clear and easy to understand.
8/19/2026 4:37:36,p693,Agree,Agree,
8/19/2026 4:43:05,p660,Strongly agree,Agree,
8/19/2026 4:57:44,p154,Agree,Agree,"Compared to some AI assistants I have tested, yours was rather slow on the uptake and should show that it is more obviously ""thinking"""
8/19/2026 5:02:28,p560,Agree,Agree,
8/19/2026 5:07:02,p746,Strongly agree,Agree,
8/19/2026 5:13:12,p311,Strongly agree,Strongly agree,"it was very responsive, accurae and helpful with my requests. Explaining clearly why each move I suggested would be good or bad. It had a nice, straightforward tone that I felt very comfortable with. "
8/19/2026 5:20:31,p762,Agree,Agree,It helped me understand the game.
8/19/2026 9:26:53,p302,Agree,Neutral,"The examples were very helpful, I don't think I would have made good use of it without them."
